,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
195918,2005,Ford,Econoline Cargo,E-250,Van,automatic,1ftne24w65ha57040,ca,22.0,157433.0,white,gray,lease plan usa,3550.0,4700.0,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
430353,2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv9cw367194,co,34.0,31266.0,silver,black,nissan-infiniti lt,16750.0,14500.0,Tue May 26 2015 05:00:00 GMT-0700 (PDT)
329030,2005,Pontiac,Bonneville,GXP,Sedan,automatic,1g2hz54y85u123720,ca,35.0,136326.0,silver,black,gateway financial services,3250.0,3000.0,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
386680,2005,Chevrolet,Silverado 1500,LS,Crew Cab,automatic,2gcec13t851185659,fl,19.0,163232.0,green,beige,westfall auto sales,6425.0,7500.0,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
134860,2011,GMC,Sierra 1500,Work Truck,Extended Cab,automatic,1gtr2te09bz205164,mo,38.0,89169.0,white,gray,burns & mcdonnell fleet,12350.0,13000.0,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
180542,2013,Hyundai,Santa Fe,Sport 2.0T,SUV,automatic,5xyzu3la2dg122120,il,5.0,14998.0,gray,gray,hyundai buybacks,21500.0,18800.0,Tue Feb 03 2015 02:00:00 GMT-0800 (PST)
290576,1997,,,,,manual,1j4fy29pxvp442274,fl,19.0,148667.0,green,beige,east coast financial,4150.0,3700.0,Fri Feb 20 2015 02:00:00 GMT-0800 (PST)
364003,2013,Nissan,Juke,SL,Hatchback,,jn8af5mv3dt220800,fl,48.0,14401.0,black,black,nissan north america inc.,18550.0,19600.0,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
345489,2013,Ford,F-150,STX,SuperCab,,1ftfx1cfxdfc43037,tn,38.0,32724.0,—,gray,ford motor credit company llc,20900.0,20300.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
239915,2013,Kia,Forte,EX,Sedan,automatic,knafu4a24d5645570,ga,33.0,61276.0,—,black,capital one auto finance,8900.0,8800.0,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
536490,2013,Toyota,Yaris,LE,hatchback,automatic,jtdktud39dd550730,pr,37.0,32412.0,blue,black,oriental bank,10050.0,11500.0,Thu Jun 18 2015 05:30:00 GMT-0700 (PDT)
250028,2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac7ch480660,az,38.0,88015.0,red,beige,gm financial,9675.0,9800.0,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
412857,2012,Nissan,Sentra,2,Sedan,automatic,3n1ab6ap9cl673859,oh,26.0,60652.0,white,gray,the car connection,7975.0,6900.0,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
19732,2006,Chevrolet,Cobalt,LS,Coupe,automatic,1g1ak18f767633570,fl,23.0,144384.0,orange,gray,hertz remarketing,2125.0,1700.0,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
262446,2013,Dodge,Grand Caravan,SE,Minivan,,2c4rdgbg9dr609064,fl,27.0,111739.0,black,black,sutton ford/ge,8725.0,8200.0,Tue Feb 17 2015 03:05:00 GMT-0800 (PST)
213464,2006,Chevrolet,Silverado 2500HD,LT2,Extended Cab,automatic,1gchk29u46e164247,az,19.0,103703.0,white,tan,wells fargo dealer services,12500.0,9000.0,Thu Jan 29 2015 03:00:00 GMT-0800 (PST)
347051,2011,Honda,Civic,LX-S,Sedan,automatic,19xfa1f6xbe045160,wi,35.0,56360.0,black,black,jpmorgan chase bank n.a.,8950.0,9700.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
536489,2013,Toyota,RAV4,LE,suv,automatic,2t3bfrev8dw048086,ma,36.0,51389.0,silver,black,the hertz corporation,15800.0,16100.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
18135,2007,Honda,Accord,Value Package,Sedan,automatic,1hgcm56127a094466,ny,,120658.0,silver,gray,abs,5475.0,5100.0,Thu Dec 18 2014 09:45:00 GMT-0800 (PST)
234548,1995,Honda,Civic,EX,Coupe,automatic,1hgej1229sl033041,pa,1.0,190243.0,red,black,purple heart,800.0,400.0,Tue Feb 03 2015 05:01:00 GMT-0800 (PST)
329974,2014,Jeep,Compass,Sport,SUV,,1c4njcba3ed844785,az,2.0,22117.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,14200.0,9000.0,Wed Feb 18 2015 03:00:00 GMT-0800 (PST)
527299,2009,Toyota,Camry Hybrid,Base,sedan,automatic,4t1bb46k99u107052,nc,43.0,40067.0,silver,gray,fifth third bank,11450.0,12800.0,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
265417,2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg0er341747,il,4.0,29473.0,red,gray,pv holding inc/gdp,16600.0,15300.0,Thu Feb 26 2015 03:00:00 GMT-0800 (PST)
312052,2007,Dodge,Nitro,SXT,SUV,automatic,1d8gt28k67w615670,nv,36.0,87626.0,burgundy,black,bul connections llc,6050.0,7900.0,Fri Feb 13 2015 03:45:00 GMT-0800 (PST)
3449,2007,Honda,Pilot,LX,SUV,automatic,5fnyf28127b036150,ca,19.0,63760.0,silver,gray,ahfc/honda lease trust/hvt  inc.,7950.0,7800.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
129176,2014,Dodge,Journey,SE,SUV,automatic,3c4pdcab1et246554,fl,39.0,6384.0,silver,black,chrysler capital,15450.0,14300.0,Thu Jan 15 2015 01:35:00 GMT-0800 (PST)
399838,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu0j9xeua15826,tx,43.0,31284.0,red,black,casa ford lincoln,20800.0,21400.0,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
357043,2009,Ford,Fusion,SE,Sedan,automatic,3fahp07z49r170710,mi,22.0,101126.0,white,black,ford motor credit company llc,5525.0,4600.0,Thu Feb 26 2015 01:00:00 GMT-0800 (PST)
126999,2009,Ford,Escape,XLT,SUV,automatic,1fmcu03769kc66937,mi,5.0,89520.0,white,gray,kevins marysville auto sales inc,8150.0,8800.0,Thu Jan 15 2015 01:30:00 GMT-0800 (PST)
472919,2009,Cadillac,DTS,Base,sedan,automatic,1g6kd57y99u133807,va,41.0,110247.0,silver,black,car web,6275.0,9600.0,Thu May 28 2015 02:35:00 GMT-0700 (PDT)
360665,2006,Ford,F-150,XL,SuperCab,,1ftrx14w66na20076,fl,25.0,61753.0,gray,gray,remarketing by ge/west financial acceptance,7550.0,12000.0,Wed Feb 25 2015 01:00:00 GMT-0800 (PST)
244042,2009,Mitsubishi,Eclipse Spyder,GS,Convertible,automatic,4a3al25f99e041552,fl,19.0,83356.0,orange,black,regional acceptance corporation / greenville,6125.0,4100.0,Thu Feb 05 2015 01:35:00 GMT-0800 (PST)
215705,2014,Honda,Civic,LX,Sedan,automatic,19xfb2f59ee247759,ca,2.0,8423.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,14700.0,11300.0,Tue Feb 03 2015 05:00:00 GMT-0800 (PST)
173319,2009,Chevrolet,Cobalt,LT,Sedan,automatic,1g1at58h197266076,mn,21.0,147462.0,red,gray,santander consumer,2625.0,2600.0,Thu Jan 22 2015 02:45:00 GMT-0800 (PST)
239932,2013,Kia,Rio,LX,Sedan,automatic,knadm4a3xd6106431,pr,3.0,30349.0,gray,black,abab corportation,9175.0,9000.0,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
13734,2014,Ford,E-Series Wagon,E-350 Super Duty XLT,Van,automatic,1fbne3bl1eda25963,mo,44.0,29000.0,white,gray,ford motor credit company,18500.0,18400.0,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
11154,2011,Subaru,Outback,2.5i Limited,Wagon,,4s4brbkc7b3390187,pa,33.0,51636.0,gray,black,jpmorgan chase bank n.a.,17200.0,16000.0,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
435344,2004,Chevrolet,Suburban,1500 LS,SUV,automatic,1gnfk16zx4j129791,oh,28.0,111215.0,white,tan,dt credit corporation,6700.0,6000.0,Thu May 21 2015 02:00:00 GMT-0700 (PDT)
88732,2012,Mercedes-Benz,C-Class,C250,Coupe,,wddgj4hb0cf779237,pa,43.0,22904.0,blue,gray,r hollenshead auto sales inc,22700.0,21750.0,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
299022,2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp6el374595,tx,48.0,10149.0,silver,black,tdaf remarketing,11450.0,12600.0,Wed Feb 18 2015 02:15:00 GMT-0800 (PST)
230030,2007,GMC,Yukon,SLE,SUV,automatic,1gkfk13017r255059,ca,28.0,123171.0,gray,beige,wells fargo dealer services,12100.0,12400.0,Thu Feb 05 2015 04:00:00 GMT-0800 (PST)
491120,2013,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcg7dr687213,fl,34.0,57797.0,white,black,dtg operations inc,11650.0,11000.0,Wed Jun 03 2015 02:40:00 GMT-0700 (PDT)
448247,2014,BMW,X3,xDrive28i,SUV,automatic,5uxwx9c55e0d11255,ca,44.0,20307.0,white,black,ak international inc,31100.0,32000.0,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
369193,2014,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk1ebl08186,tn,48.0,10735.0,red,beige,ford motor credit company,33600.0,34000.0,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
308706,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0h77dr185859,mn,39.0,78047.0,silver,—,wheels ltd,11100.0,11400.0,Thu Feb 19 2015 02:45:00 GMT-0800 (PST)
71791,2007,Chevrolet,Suburban,1500 LS,SUV,automatic,1gnfk16337r242483,tx,35.0,167332.0,white,gray,frank kent cadillac ltd,10150.0,10900.0,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
186525,2005,Dodge,Magnum,RT,Wagon,,2d8gv58215h517881,oh,1.0,205687.0,brown,gray,select remarketing group llc/loan max title,2275.0,2550.0,Tue Feb 03 2015 04:00:00 GMT-0800 (PST)
419890,2013,Mazda,Mazda3,i SV,Sedan,automatic,jm1bl1tg3d1774371,az,26.0,54229.0,blue,black,the hertz corporation,9350.0,9100.0,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
328947,2005,Honda,Accord,LX,Sedan,automatic,1hgcm56445a196424,nv,23.0,158000.0,black,tan,lobel financial corp,3600.0,4100.0,Thu Feb 19 2015 04:00:00 GMT-0800 (PST)
71363,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg2er256653,fl,4.0,31627.0,blue,black,hertz corporation/gdp,18200.0,17700.0,Mon Jan 19 2015 04:30:00 GMT-0800 (PST)
331113,2011,Dodge,Charger,Base,Sedan,automatic,2b3cl3cg7bh504737,mo,35.0,70370.0,white,black,napleton's mid river,13000.0,13300.0,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
477353,2014,Chevrolet,Impala Limited,LT Fleet,sedan,automatic,2g1wb5e34e1157538,il,3.0,19855.0,black,gray,gm remarketing,13650.0,13500.0,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
451078,2013,Hyundai,Veloster,Turbo,Hatchback,automatic,kmhtc6aexdu181295,pa,38.0,23368.0,silver,black,hyundai motor finance,14800.0,14200.0,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
96114,2013,Audi,Q5,2.0T Premium quattro,SUV,automatic,wa1cfafp0da018787,ca,38.0,21840.0,white,gray,hoehn motors inc,29100.0,28500.0,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
325120,2014,Ford,F-150,XLT,SuperCab,automatic,1ftfx1ef4efb62405,va,38.0,18476.0,white,black,enterprise veh exchange/rental,25600.0,25500.0,Thu Feb 26 2015 01:20:00 GMT-0800 (PST)
510521,2007,Honda,CR-V,EX-L,suv,automatic,jhlre38707c000538,ga,27.0,158752.0,blue,black,tdaf remarketing,7075.0,7500.0,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
100008,2008,Kia,Rondo,LX,Wagon,automatic,knafg526087149111,nc,19.0,141639.0,white,gray,dt credit corporation,2800.0,2100.0,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
509280,2012,Nissan,Leaf,SL,hatchback,automatic,jn1az0cpxct017445,ca,41.0,25550.0,white,beige,nissan-infiniti lt,7650.0,8200.0,Wed Jun 10 2015 05:30:00 GMT-0700 (PDT)
249512,2012,Chrysler,200,LX,Sedan,automatic,1c3ccbab2cn155502,ga,39.0,66164.0,gray,beige,chrysler capital,8425.0,8700.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
129519,2005,Honda,Civic,LX,Sedan,automatic,2hges16635h581239,fl,19.0,81579.0,blue,gray,hyundai of st augustine,4200.0,3700.0,Tue Jan 13 2015 10:00:00 GMT-0800 (PST)
437193,2011,,,,,,1fdne1bw7bda64803,ca,4.0,80353.0,white,gray,vpsi  inc,12100.0,10100.0,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
554253,2011,Toyota,RAV4,Sport,suv,automatic,jtmrk4dv3b5105832,wi,34.0,40936.0,silver,black,honda motorwerks,16000.0,16700.0,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
288972,2006,,,,,manual,jn1az34d46m302551,ca,3.0,47196.0,gray,black,a l financial corporation,11550.0,11900.0,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
476158,2010,Chevrolet,Equinox,LTZ,suv,automatic,2cnalfew5a6270132,ms,34.0,108099.0,red,black,exeter finance corp,11200.0,7000.0,Thu Jun 04 2015 05:02:00 GMT-0700 (PDT)
184032,2011,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5ek7b1282909,oh,31.0,53614.0,black,black,the car connection,9150.0,8900.0,Thu Jan 29 2015 01:00:00 GMT-0800 (PST)
60505,2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae6eh522055,ga,44.0,20461.0,brown,tan,hyundai motor america,12250.0,12300.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
377723,2010,Ford,F-150,XLT,SuperCab,automatic,1ftfx1ev0afd35659,oh,46.0,54284.0,white,tan,159191 canada inc,18550.0,19900.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
462656,2003,Nissan,Altima,2.5 SL,Sedan,manual,1n4al11d23c102590,ca,21.0,97467.0,silver,gray,m l sim,2300.0,3800.0,Tue May 26 2015 05:30:00 GMT-0700 (PDT)
359022,2012,Porsche,Cayenne,S Hybrid,SUV,automatic,wp1ae2a25cla90314,wi,38.0,53728.0,black,black,lease plan usa,40300.0,40800.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
55807,2014,Ram,1500,SLT,Crew Cab,automatic,1c6rr6ltxes222246,tx,5.0,2779.0,silver,gray,chrysler capital,26000.0,26700.0,Wed Dec 31 2014 10:00:00 GMT-0800 (PST)
482896,2012,Chevrolet,Equinox,LS,suv,automatic,2gnflcekxc6282969,wi,42.0,81276.0,black,gray,wheels exchange llc,11350.0,12900.0,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
401852,2011,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap3bn502807,fl,39.0,43230.0,silver,black,nissan-infiniti lt,10700.0,11400.0,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
114246,2011,Nissan,Murano,SV,SUV,,jn8az1mu8bw066538,ca,39.0,40158.0,black,black,nissan-infiniti lt,17900.0,15800.0,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
476149,2010,Cadillac,CTS,Premium,sedan,automatic,1g6ds5ev8a0110747,ga,35.0,72695.0,red,black,innovative auto llc,13750.0,16400.0,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
124533,2012,Hyundai,Sonata,GLS,Sedan,,5npeb4ac4ch416480,pa,43.0,41868.0,white,tan,hyundai motor finance,11350.0,11400.0,Fri Jan 30 2015 01:00:00 GMT-0800 (PST)
241315,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae0dh283066,oh,47.0,22237.0,gray,tan,hyundai motor finance,12200.0,12000.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
519881,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac6dh685078,md,39.0,38748.0,silver,gray,all car leasing inc,11500.0,11500.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
353368,2008,Ford,Focus,SES,Sedan,,1fahp35n98w169825,tx,2.0,56280.0,red,black,gm financial,5900.0,7400.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
23415,2005,Toyota,Highlander,V6,SUV,automatic,jteep21a250101936,va,28.0,151500.0,red,beige,car web,6750.0,6800.0,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
365943,2011,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap6bc841404,fl,42.0,21688.0,silver,black,nissan-infiniti lt,17900.0,18600.0,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
108738,2012,Lincoln,MKZ,Base,Sedan,automatic,3lnhl2gc3cr839792,ca,47.0,23364.0,black,black,ford motor credit company llc pd,16700.0,16500.0,Thu Jan 22 2015 04:00:00 GMT-0800 (PST)
197272,2013,Buick,Enclave,Leather Group,SUV,automatic,5gakvckd4dj159195,mo,35.0,41078.0,white,black,avis corporation,24600.0,25600.0,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
435429,2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae7eh462707,ga,29.0,32897.0,silver,gray,web auto special inc,11350.0,10600.0,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
173833,2004,Chevrolet,Impala,LS,Sedan,automatic,2g1wh55k349288577,fl,2.0,158349.0,black,beige,d&a fine cars,2050.0,2000.0,Fri Jan 23 2015 01:25:00 GMT-0800 (PST)
352402,2012,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap0cl663589,wa,38.0,44989.0,silver,gray,nissan-infiniti lt,10000.0,11700.0,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
485309,2004,Cadillac,Escalade ESV,Base,suv,automatic,3gyfk66n14g152259,pa,46.0,79794.0,silver,gray,adcock brothers inc,10450.0,11600.0,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
353924,2006,Mazda,Mazda6,s,Sedan,automatic,1yvhp80d365m14623,fl,23.0,135420.0,red,beige,autonation toyota scion weston,2850.0,2800.0,Tue Feb 24 2015 10:00:00 GMT-0800 (PST)
330459,2014,Toyota,Camry Hybrid,XLE,Sedan,automatic,4t1bd1fk5eu098790,il,26.0,56154.0,black,gray,ge fleet services for itself/servicer,17050.0,16400.0,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
374690,2011,Ford,Fiesta,SES,Hatchback,manual,3fadp4fjxbm118566,pa,39.0,49859.0,black,gray,salerno duane infiniti llc,8350.0,8000.0,Fri Mar 06 2015 01:15:00 GMT-0800 (PST)
475832,2012,Volkswagen,Passat,SE PZEV,sedan,automatic,1vwbp7a35cc082278,nj,45.0,41587.0,—,black,vw credit prequalified,11300.0,13600.0,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
130924,2001,Ford,F-150,XLT,SuperCrew,automatic,1ftrw08l01kf59543,ne,37.0,125685.0,red,gray,performance ford,4800.0,7900.0,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
11232,2011,Toyota,Camry,Base,Sedan,automatic,4t1bf3ek6bu201508,va,41.0,94549.0,black,gray,safford chrysler jeep dodge of springfield,9000.0,8800.0,Thu Dec 18 2014 09:05:00 GMT-0800 (PST)
86832,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hr2dr178416,wa,45.0,22143.0,gray,black,ford motor credit company llc,15100.0,15000.0,Wed Jan 07 2015 12:00:00 GMT-0800 (PST)
85191,2014,Subaru,Impreza,2.0i Premium PZEV,Sedan,automatic,jf1gjac60eh009149,fl,5.0,22481.0,red,black,subaru of america,16800.0,15800.0,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
412177,2012,Lexus,RX 350,Base,SUV,automatic,2t2bk1ba3cc141617,co,37.0,40999.0,black,tan,all auto imports inc,27000.0,27500.0,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
73088,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu0j97eua79354,mo,47.0,16771.0,silver,black,avis budget group,21700.0,21700.0,Tue Jan 06 2015 03:00:00 GMT-0800 (PST)
483169,2012,Ford,Taurus,SEL,sedan,,1fahp2ew7cg104266,nj,42.0,43375.0,brown,gray,ford motor credit company llc,14400.0,13300.0,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
334304,2007,Ford,Explorer Sport Trac,Limited,Crew Cab,automatic,1fmeu33k97ub11864,pa,46.0,98426.0,silver,black,bobby rahal volvo jaguar land rover,10450.0,10700.0,Wed Feb 18 2015 01:00:00 GMT-0800 (PST)
218395,2014,Cadillac,Escalade,Luxury,SUV,automatic,1gys4befxer152032,il,4.0,22056.0,silver,tan,gm remarketing,49200.0,48250.0,Thu Feb 05 2015 03:00:00 GMT-0800 (PST)
289485,2004,BMW,3 Series,325Ci,Convertible,automatic,wbabw33454pl32260,fl,47.0,59284.0,white,beige,coggin bmw treasure coast,7150.0,6900.0,Tue Feb 10 2015 10:00:00 GMT-0800 (PST)
542892,2014,Ford,Explorer,Limited,suv,automatic,1fm5k7f88ega75318,co,5.0,10258.0,gray,beige,td auto finance,27500.0,28100.0,Wed Jun 17 2015 04:45:00 GMT-0700 (PDT)
287709,2008,GMC,Envoy,SLT,SUV,automatic,1gkds13s782137164,nc,29.0,93118.0,silver,gray,honda of concord,7350.0,7200.0,Wed Feb 11 2015 06:00:00 GMT-0800 (PST)
315312,2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee6dp132104,fl,3.0,50839.0,silver,gray,fox rent a car,11000.0,11300.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
157557,2013,Ford,F-250 Super Duty,XLT,Crew Cab,automatic,1ft7w2bt0dea12173,tx,24.0,54830.0,—,tan,ford motor credit company llc,31100.0,30200.0,Thu Jan 22 2015 02:30:00 GMT-0800 (PST)
261297,2014,Ford,C-Max Hybrid,SEL,Wagon,automatic,1fadp5bu9el511065,mo,44.0,21513.0,black,black,ford motor credit company,17300.0,17000.0,Tue Feb 17 2015 03:00:00 GMT-0800 (PST)
102128,2014,Ford,Focus,SE,Sedan,automatic,1fadp3f27el113169,ga,29.0,35665.0,red,gray,ars/avis budget group,11900.0,12200.0,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
59528,2003,Honda,Civic,EX,Coupe,automatic,1hgem22923l007960,fl,25.0,186873.0,silver,black,country motors,2175.0,2800.0,Thu Feb 12 2015 05:00:00 GMT-0800 (PST)
331209,2010,Ford,F-150,FX2,SuperCab,automatic,1ftex1c80ake25278,fl,35.0,57340.0,black,black,best buy repos inc,15200.0,19700.0,Wed Feb 25 2015 01:35:00 GMT-0800 (PST)
184569,2010,BMW,5 Series,550i,Sedan,automatic,wbanw5c52act57153,fl,19.0,57834.0,blue,tan,braman motorcars of jupiter,22200.0,15600.0,Fri Jan 23 2015 01:35:00 GMT-0800 (PST)
118991,2014,Ford,Escape,Titanium,SUV,automatic,1fmcu9j94euc94338,tx,37.0,19591.0,red,black,avis budget group,23600.0,24100.0,Wed Feb 04 2015 01:30:00 GMT-0800 (PST)
201005,2013,Cadillac,ATS,Luxury,Sedan,automatic,1g6ab5r37d0131315,il,25.0,61324.0,black,black,the hertz corporation,17750.0,16400.0,Thu Feb 19 2015 02:00:00 GMT-0800 (PST)
58361,2006,Dodge,Ram Pickup 2500,SLT,Quad Cab,automatic,3d7kr28c46g225850,ca,27.0,148649.0,gray,silver,bob baker jeep,12100.0,13800.0,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
551113,2007,HUMMER,H3,Base,suv,automatic,5gtdn13e378225372,tx,4.0,181042.0,red,black,trucks & cars for less,7200.0,7900.0,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
383362,2011,Hyundai,Elantra,GLS,Sedan,,5npdh4ae3bh058041,pa,43.0,46456.0,gray,gray,hyundai motor finance,9150.0,10100.0,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
29447,1999,Toyota,Corolla,CE,Sedan,automatic,1nxbr12e2xz168394,la,,135245.0,silver,—,moss motors,1300.0,1000.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
62654,2012,Ford,Escape,Limited,SUV,automatic,1fmcu0e7xckb13840,fl,2.0,39703.0,black,beige,ari,15700.0,13600.0,Wed Jan 28 2015 07:10:00 GMT-0800 (PST)
175799,2011,Cadillac,SRX,Luxury,SUV,automatic,3gyfndeyxbs584804,mo,43.0,58525.0,gray,beige,hendrick buick gmc cadillac,19600.0,20600.0,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
31321,2013,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e36d1185776,fl,3.0,57977.0,red,black,the hertz corporation/gm,9750.0,9700.0,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
85471,2013,Ford,Escape,SE,SUV,,1fmcu9gx8dub76930,pa,36.0,20886.0,black,beige,ford motor credit company llc,18100.0,16500.0,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
428415,2014,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk0eu809211,fl,45.0,10131.0,red,black,world omni financial corporation,16800.0,16900.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
50494,2013,Buick,Verano,Leather Group,Sedan,automatic,1g4ps5sk1d4212260,pa,26.0,45752.0,gray,black,the hertz corporation,12550.0,11700.0,Fri Jan 02 2015 09:00:00 GMT-0800 (PST)
438788,2014,Hyundai,Sonata,GLS,Sedan,,5npeb4ac3eh901647,pa,39.0,33619.0,red,gray,avis corporation,12750.0,12800.0,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
377161,2011,Chevrolet,Traverse,LT1,SUV,automatic,1gnkrged8bj387596,tx,28.0,40185.0,blue,gray,santander consumer,16650.0,16000.0,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
190670,2011,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap2bc172640,fl,21.0,28006.0,black,black,nissan-infiniti lt,11500.0,9200.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
485676,2015,Cadillac,SRX,Luxury,suv,automatic,3gyfnbe3xfs525198,fl,5.0,14345.0,silver,black,fields bmw,35100.0,34600.0,Tue Jun 02 2015 02:10:00 GMT-0700 (PDT)
222323,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjmak4cw189904,ca,39.0,58332.0,gray,—,remarketing by ge/larry h miller-fleet lease,13450.0,14000.0,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
393652,2013,Chevrolet,Equinox,LT,SUV,automatic,2gnalpek2d6374144,tx,43.0,37292.0,silver,black,avis corporation,16850.0,17800.0,Wed Mar 04 2015 02:15:00 GMT-0800 (PST)
44444,2010,Jeep,Wrangler,Unlimited Sahara,SUV,,1j4ba5h15al130530,nj,37.0,50502.0,—,beige,chrysler capital,22400.0,23000.0,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
156972,2014,Subaru,Outback,2.5i Premium PZEV,Wagon,automatic,4s4brbcc4e3290146,il,42.0,15219.0,silver,—,subaru of america,22200.0,22200.0,Tue Feb 03 2015 03:00:00 GMT-0800 (PST)
348206,1999,,,,,,1fmru17l4xla55685,nj,19.0,228669.0,red,gray,holman ford lincoln turnersville,1125.0,800.0,Wed Feb 25 2015 01:30:00 GMT-0800 (PST)
